scraped_org_name,source_type,source_name,role,source_url,verified_nonprofit,propublica_ein,propublica_org_name
Community Foundation of Putnam County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of San Carlos,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of Shelby County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Singapore,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of South Central Kentucky,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation for South Central New York,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of South Central Wisconsin, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of South Jersey,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of South Lake County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of South Puget Sound (WA),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Southeast Kansas,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Southern New Mexico,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Southwest Kansas,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Southwest Louisiana,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of St. Clair County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation Tampa Bay, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of Teton Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Community Foundation of the Brazos Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Central Blue Ridge,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Chattahoochee Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Dan River Region,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of the Eastern Shore, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Fox River Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Gunnison Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Community Foundation of the Lowcountry, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the New River Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Community Foundation of the Northern Shenandoah Valley,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
